Job_Title,Experience_Years,Education_Level,Salary,Job_Type,Location,Company_Size,Age,Industry,Remote_Work,Skills,Performance_Rating
Sales Executive,26,Master,92976.0,Full-time,Boston,Enterprise,31,Finance,No,Data Analysis,3
Teacher,25,High School,145391.0,Internship,Seattle,Small,37,Finance,No,Marketing,5
Nurse,13,PhD,141509.0,Contract,Chicago,Small,45,Retail,No,Java,5
Sales Executive,16,High School,105447.0,Contract,Boston,Enterprise,38,Education,Yes,Python,2
Accountant,17,High School,129522.0,Internship,San Francisco,Medium,40,Education,Yes,SQL,2
Nurse,28,Master,75965.0,Internship,Boston,Medium,28,Education,Yes,Python,5
Nurse,19,High School,101144.0,Contract,Austin,Large,19,Retail,No,Data Analysis,2
Sales Executive,26,PhD,137433.0,Contract,Seattle,Medium,37,Retail,Yes,Marketing,2
Data Scientist,17,Bachelor,115201.0,Contract,Seattle,Small,41,IT,Yes,C++,4
Accountant,3,Master,,Part-time,Chicago,Enterprise,42,Finance,No,Excel,5
Sales Executive,0,PhD,112693.0,Part-time,Austin,Medium,54,Healthcare,Yes,,5
Accountant,0,Master,114315.0,Part-time,Austin,Enterprise,39,Healthcare,No,Excel,2
Accountant,25,High School,115504.0,Full-time,Chicago,Medium,41,Finance,No,Excel,1
Nurse,19,High School,47387.0,Part-time,Remote,Large,32,Manufacturing,No,Data Analysis,4
Teacher,22,PhD,24090.0,Contract,Remote,Small,29,IT,Yes,Data Analysis,1
Accountant,9,PhD,140846.0,Part-time,New York,Large,63,Finance,No,Data Analysis,2
Marketing Manager,10,Bachelor,44945.0,Contract,Remote,Enterprise,48,IT,No,Java,5
Nurse,4,PhD,60239.0,Internship,Boston,Small,60,Manufacturing,Yes,Java,1
Data Scientist,0,PhD,23743.0,Full-time,Austin,Small,48,IT,No,Excel,3
Teacher,16,Master,50924.0,Full-time,New York,Large,47,Education,Yes,SQL,1
Marketing Manager,21,High School,30196.0,Internship,New York,Medium,58,Finance,Yes,Marketing,5
Marketing Manager,33,PhD,111815.0,Contract,Seattle,Large,37,Healthcare,No,SQL,2
Data Scientist,28,Bachelor,125312.0,Full-time,Boston,Enterprise,25,Retail,Yes,,1
Teacher,3,PhD,88860.0,Part-time,Seattle,Medium,61,Manufacturing,Yes,Data Analysis,2
Nurse,4,High School,61400.0,Contract,San Francisco,Large,47,Manufacturing,Yes,Excel,4
Software Engineer,10,PhD,105177.0,Full-time,Remote,Large,52,Retail,Yes,Marketing,3
Teacher,20,Master,113018.0,Internship,Seattle,Medium,38,Finance,No,Java,5
Data Scientist,34,High School,118530.0,Contract,Austin,Medium,64,Retail,Yes,Python,5
Marketing Manager,11,PhD,100399.0,Full-time,,Medium,57,IT,Yes,Python,2
Nurse,25,Master,68795.0,Internship,Boston,Large,45,Retail,Yes,Marketing,3
Teacher,18,High School,71553.0,Contract,New York,Medium,56,IT,Yes,SQL,5
Software Engineer,6,PhD,123022.0,Part-time,Austin,Medium,34,IT,No,,1
Software Engineer,6,Master,,Contract,Remote,Medium,29,Healthcare,No,,5
Accountant,25,Bachelor,123976.0,Part-time,Seattle,Small,35,Retail,Yes,Data Analysis,1
Accountant,4,Master,44111.0,Contract,Remote,Enterprise,64,Healthcare,No,C++,5
Sales Executive,20,Bachelor,133566.0,Internship,Seattle,Medium,45,Retail,Yes,SQL,1
Data Scientist,13,PhD,146371.0,Part-time,Boston,Enterprise,20,IT,No,Python,4
Teacher,3,Master,83083.0,Part-time,Remote,Medium,32,Retail,Yes,Java,2
Teacher,22,Bachelor,139968.0,Contract,,Medium,33,Manufacturing,Yes,Excel,4
Sales Executive,19,High School,81600.0,Full-time,Remote,Small,39,Manufacturing,No,Data Analysis,1
Marketing Manager,14,Master,70022.0,Part-time,Chicago,Small,48,Healthcare,No,Java,2
Marketing Manager,28,PhD,23199.0,Contract,Boston,Medium,48,Education,No,Excel,3
Sales Executive,7,High School,70897.0,Internship,Boston,Medium,18,Manufacturing,No,C++,1
Marketing Manager,18,Bachelor,58038.0,Contract,Austin,Medium,28,Healthcare,No,Python,5
Accountant,27,Master,143323.0,Contract,Boston,Enterprise,23,Education,Yes,Data Analysis,5
Teacher,26,Master,,Part-time,San Francisco,Medium,40,Finance,Yes,Excel,3
Sales Executive,3,PhD,140278.0,Full-time,Austin,Enterprise,26,Healthcare,Yes,C++,4
Teacher,14,High School,131054.0,Internship,Austin,Small,33,Manufacturing,Yes,Data Analysis,1
Software Engineer,34,Master,27897.0,Part-time,Remote,Enterprise,55,Manufacturing,No,SQL,5
Accountant,0,Master,84541.0,Part-time,Chicago,Medium,61,Retail,No,Marketing,2
Nurse,2,High School,126968.0,Part-time,Austin,Small,36,Education,Yes,Data Analysis,3
Accountant,23,Master,34892.0,Internship,New York,Large,62,Manufacturing,Yes,Data Analysis,4
Sales Executive,26,High School,28271.0,Full-time,Seattle,Small,30,Retail,No,Excel,4
Nurse,33,High School,123462.0,Internship,Seattle,Large,49,Education,No,Java,2
Software Engineer,28,High School,44815.0,Internship,Boston,Enterprise,53,Healthcare,No,Python,2
Sales Executive,23,PhD,65612.0,Full-time,Remote,Small,26,Healthcare,No,Python,3
Data Scientist,23,High School,53357.0,Internship,Chicago,Small,63,Retail,No,Data Analysis,2
Teacher,3,High School,95088.0,Contract,Seattle,Small,63,Healthcare,Yes,Data Analysis,5
Software Engineer,2,Bachelor,36267.0,Internship,New York,Enterprise,54,Retail,Yes,C++,4
Teacher,33,Bachelor,38268.0,Part-time,Chicago,Medium,48,IT,Yes,Marketing,2
Marketing Manager,22,PhD,134463.0,Internship,San Francisco,Enterprise,48,Education,Yes,SQL,1
Data Scientist,22,High School,34263.0,Part-time,Seattle,Small,36,Retail,No,Data Analysis,2
Data Scientist,4,Bachelor,90935.0,Internship,Austin,Medium,19,Education,Yes,SQL,4
Software Engineer,30,Bachelor,115347.0,Part-time,New York,Small,62,IT,Yes,Python,5
Data Scientist,5,Master,79660.0,Part-time,Remote,Small,49,Education,Yes,SQL,2
Nurse,9,High School,,Part-time,Remote,Large,60,Retail,Yes,Data Analysis,5
Data Scientist,6,Bachelor,83379.0,Full-time,New York,Small,51,Healthcare,Yes,Data Analysis,1
Teacher,20,PhD,114542.0,Internship,Seattle,Enterprise,18,Education,No,C++,4
Teacher,19,Master,61271.0,Internship,Boston,Enterprise,38,Education,Yes,Marketing,3
Sales Executive,2,Master,86612.0,Contract,,Enterprise,20,Manufacturing,Yes,Python,4
Teacher,21,High School,,Contract,Austin,Medium,44,Manufacturing,No,SQL,3
Sales Executive,3,High School,108757.0,Contract,,Large,61,IT,No,Excel,3
Teacher,27,Master,36417.0,Internship,San Francisco,Large,24,Finance,No,Excel,4
Nurse,11,PhD,118075.0,Full-time,Seattle,Small,50,Healthcare,No,C++,3
Sales Executive,4,High School,54609.0,Part-time,Austin,Small,26,Retail,Yes,SQL,5
Accountant,12,High School,122785.0,Internship,Seattle,Large,47,IT,No,Excel,1
Marketing Manager,22,Master,143128.0,Full-time,Seattle,Medium,35,Retail,Yes,Marketing,2
Software Engineer,29,Master,53902.0,Full-time,Boston,Enterprise,43,Retail,No,Java,3
Teacher,24,High School,43645.0,Internship,New York,Small,37,Education,Yes,,3
Data Scientist,26,Bachelor,82873.0,Part-time,Remote,Large,55,IT,No,C++,4
Teacher,13,High School,107218.0,Full-time,Boston,Medium,58,IT,No,Marketing,5
Data Scientist,15,Bachelor,84558.0,Internship,Remote,Enterprise,48,Manufacturing,Yes,SQL,2
Marketing Manager,21,Master,82233.0,Part-time,Boston,Small,25,Healthcare,Yes,Data Analysis,3
Marketing Manager,20,Bachelor,131443.0,Contract,Seattle,Enterprise,40,Finance,No,Marketing,5
Marketing Manager,20,PhD,43401.0,Full-time,,Enterprise,42,Retail,Yes,,2
Data Scientist,7,Master,27771.0,Full-time,Remote,Large,64,Healthcare,Yes,Python,4
Teacher,15,High School,61335.0,Internship,Boston,Large,18,Manufacturing,Yes,SQL,3
Marketing Manager,30,High School,94451.0,Internship,Chicago,Enterprise,63,Healthcare,Yes,C++,4
Nurse,9,Master,99434.0,Part-time,Austin,Enterprise,35,Retail,No,SQL,4
Sales Executive,31,Master,87449.0,Contract,New York,Small,36,Education,Yes,Python,3
Data Scientist,33,PhD,122601.0,Contract,Remote,Medium,59,Education,No,Data Analysis,5
Data Scientist,8,Master,112604.0,Internship,Austin,Medium,23,Retail,Yes,Java,5
Teacher,16,High School,21942.0,Internship,New York,Enterprise,34,Manufacturing,No,,4
Data Scientist,10,PhD,40388.0,Part-time,Chicago,Large,63,Manufacturing,No,Python,4
Data Scientist,31,High School,145224.0,Internship,Seattle,Medium,62,IT,No,SQL,1
Marketing Manager,9,Bachelor,103251.0,Part-time,Remote,Enterprise,25,Finance,No,C++,2
Teacher,21,Master,77042.0,Part-time,New York,Large,59,Education,Yes,Excel,4
Marketing Manager,16,Bachelor,73740.0,Contract,New York,Small,26,Finance,Yes,,4
Sales Executive,3,High School,85873.0,Part-time,New York,Medium,54,Healthcare,No,Python,2
Sales Executive,24,Bachelor,67024.0,Contract,Chicago,Small,44,Healthcare,Yes,SQL,3
Marketing Manager,20,Bachelor,43450.0,Contract,Austin,Large,53,Retail,Yes,Data Analysis,5
Sales Executive,0,High School,76965.0,Contract,Chicago,Enterprise,23,Retail,No,Python,3
Teacher,24,High School,30057.0,Internship,New York,Small,23,Retail,Yes,Marketing,2
Software Engineer,16,Master,113249.0,Contract,Boston,Enterprise,62,Manufacturing,Yes,Java,2
Marketing Manager,23,Bachelor,28983.0,Part-time,New York,Medium,21,Education,Yes,Java,1
Nurse,1,PhD,39995.0,Internship,Boston,Small,39,Finance,Yes,C++,1
Nurse,14,PhD,,Part-time,Seattle,Medium,57,Healthcare,No,Python,5
Data Scientist,31,High School,122004.0,Internship,Chicago,Medium,44,Finance,No,Java,4
Sales Executive,5,High School,,Part-time,Boston,Medium,54,Education,Yes,Excel,2
Nurse,0,Bachelor,97681.0,Full-time,Chicago,Medium,19,Finance,No,C++,1
Data Scientist,22,High School,58886.0,Full-time,San Francisco,Medium,26,Finance,No,Excel,3
Software Engineer,16,PhD,109025.0,Full-time,Austin,Large,28,Manufacturing,No,,1
Teacher,33,Master,116572.0,Part-time,San Francisco,Small,37,Retail,No,Python,3
Teacher,28,Master,115149.0,Internship,Boston,Enterprise,60,Manufacturing,Yes,,1
Teacher,8,Bachelor,114020.0,Contract,San Francisco,Enterprise,56,Manufacturing,Yes,Excel,3
Nurse,12,Master,22673.0,Contract,Remote,Large,31,Finance,Yes,Data Analysis,1
Software Engineer,5,High School,,Part-time,Austin,Enterprise,43,Finance,No,Java,1
Nurse,5,High School,97513.0,Part-time,Boston,Enterprise,55,Manufacturing,Yes,SQL,5
Sales Executive,19,High School,43466.0,Part-time,Seattle,Enterprise,47,Finance,Yes,Excel,4
Nurse,2,High School,126554.0,Part-time,Seattle,Small,53,Manufacturing,Yes,Marketing,2
Software Engineer,16,Bachelor,112545.0,Contract,Austin,Enterprise,55,IT,No,C++,4
Software Engineer,11,Master,136750.0,Internship,Austin,Small,52,Manufacturing,Yes,Excel,5
Sales Executive,0,PhD,,Contract,Boston,Enterprise,23,Healthcare,No,C++,3
Software Engineer,16,Master,23688.0,Part-time,Chicago,Enterprise,20,Healthcare,No,Java,4
Software Engineer,2,High School,89284.0,Full-time,Remote,Small,18,Finance,No,,2
Teacher,25,PhD,124646.0,Contract,Boston,Large,35,Manufacturing,No,C++,2
Sales Executive,14,Bachelor,134579.0,Full-time,Chicago,Enterprise,40,Manufacturing,No,Java,3
Accountant,31,High School,33665.0,Full-time,Chicago,Medium,49,Retail,Yes,Python,2
Accountant,31,High School,122434.0,Part-time,Chicago,Medium,46,Retail,No,C++,5
Software Engineer,3,PhD,40641.0,Contract,Boston,Large,40,Retail,No,Python,4
Accountant,17,Bachelor,,Internship,New York,Medium,53,Manufacturing,No,C++,2
Accountant,18,PhD,55797.0,Contract,New York,Small,23,Manufacturing,Yes,SQL,4
Software Engineer,34,Bachelor,104766.0,Internship,Seattle,Enterprise,34,Healthcare,Yes,SQL,1
Accountant,13,High School,65950.0,Internship,New York,Enterprise,35,Education,Yes,Excel,4
Nurse,32,Master,45046.0,Part-time,New York,Enterprise,48,Finance,Yes,,3
Data Scientist,13,High School,149554.0,Internship,Chicago,Enterprise,23,Healthcare,No,SQL,5
Sales Executive,33,Master,,Contract,Chicago,Medium,51,Retail,No,Java,2
Data Scientist,3,Master,133431.0,Contract,Austin,Medium,61,Healthcare,Yes,Excel,5
Software Engineer,23,Bachelor,121203.0,Full-time,Chicago,Medium,61,Healthcare,No,Python,4
Teacher,28,PhD,29638.0,Internship,Boston,Small,44,Healthcare,Yes,SQL,2
Sales Executive,18,Bachelor,106363.0,Part-time,Austin,Medium,53,Retail,Yes,Marketing,5
Software Engineer,5,High School,41173.0,Part-time,Remote,Medium,59,Education,Yes,Marketing,3
Teacher,32,PhD,33222.0,Contract,Austin,Enterprise,42,IT,No,Marketing,1
Data Scientist,18,Master,70064.0,Internship,New York,Medium,27,Finance,Yes,Data Analysis,1
Software Engineer,0,Master,57010.0,Part-time,Chicago,Large,56,Finance,Yes,Marketing,3
Sales Executive,4,High School,,Internship,New York,Large,63,Healthcare,No,Marketing,1
Sales Executive,26,PhD,38095.0,Internship,Chicago,Enterprise,56,Education,No,Marketing,3
Marketing Manager,15,High School,143554.0,Full-time,,Medium,29,Retail,No,Marketing,4
Nurse,5,High School,21439.0,Part-time,Remote,Large,28,IT,No,SQL,3
Accountant,12,Bachelor,,Full-time,New York,Large,60,IT,No,Marketing,1
Teacher,34,High School,123917.0,Part-time,New York,Small,20,Healthcare,No,C++,4
Marketing Manager,18,PhD,105550.0,Internship,Boston,Enterprise,39,Healthcare,Yes,C++,3
Accountant,11,High School,25375.0,Part-time,Remote,Large,21,Retail,No,Marketing,3
Accountant,15,PhD,109023.0,Contract,Seattle,Large,25,Retail,No,Data Analysis,4
Software Engineer,9,Master,127181.0,Internship,Remote,Enterprise,31,Manufacturing,No,Excel,2
Accountant,24,High School,111238.0,Part-time,New York,Medium,37,Retail,Yes,SQL,1
Nurse,19,PhD,40600.0,Full-time,San Francisco,Enterprise,41,Healthcare,No,C++,2
Sales Executive,30,Master,22466.0,Full-time,San Francisco,Small,31,Education,Yes,Excel,4
Marketing Manager,3,PhD,145277.0,Internship,San Francisco,Small,45,Healthcare,Yes,,4
Accountant,22,Master,126128.0,Full-time,Boston,Small,33,Healthcare,Yes,Marketing,5
Software Engineer,1,Bachelor,65097.0,Internship,Austin,Large,49,IT,Yes,Python,5
Nurse,21,High School,129934.0,Internship,New York,Medium,64,Retail,No,Data Analysis,4
Data Scientist,7,High School,73276.0,Internship,Remote,Small,29,Finance,No,Data Analysis,5
Sales Executive,6,Master,70117.0,Part-time,San Francisco,Enterprise,33,Retail,No,Data Analysis,3
Sales Executive,13,Bachelor,66971.0,Internship,Boston,Small,36,Manufacturing,No,Marketing,2
Marketing Manager,2,PhD,26928.0,Full-time,Austin,Large,22,Education,No,Marketing,4
Sales Executive,15,Bachelor,108016.0,Contract,San Francisco,Small,29,Education,No,Excel,3
Accountant,18,PhD,75309.0,Part-time,Chicago,Medium,46,Retail,Yes,Data Analysis,1
Software Engineer,17,PhD,94647.0,Full-time,Seattle,Small,22,Retail,Yes,Data Analysis,1
Sales Executive,15,High School,60888.0,Internship,New York,Medium,59,Healthcare,No,Data Analysis,5
Sales Executive,7,Master,115025.0,Internship,Seattle,Medium,34,Finance,No,Java,5
Data Scientist,32,High School,63832.0,Contract,Seattle,Enterprise,64,Healthcare,No,Excel,3
Data Scientist,11,High School,136196.0,Full-time,Chicago,Medium,25,IT,No,SQL,1
Teacher,10,High School,29404.0,Part-time,Chicago,Large,57,IT,No,Data Analysis,4
Nurse,4,PhD,53639.0,Full-time,,Large,57,Education,No,Java,2
Accountant,26,High School,,Internship,Austin,Medium,47,Education,Yes,C++,5
Sales Executive,11,PhD,80598.0,Part-time,,Medium,27,Finance,Yes,Java,3
Sales Executive,16,Master,86399.0,Internship,Remote,Small,37,Education,No,Java,5
Software Engineer,5,PhD,133187.0,Internship,New York,Small,62,Manufacturing,No,Excel,3
Teacher,32,PhD,130449.0,Full-time,Chicago,Enterprise,33,IT,No,Marketing,1
Nurse,4,Bachelor,47684.0,Contract,Boston,Small,58,Finance,Yes,Marketing,5
Teacher,27,High School,,Internship,,Large,33,IT,Yes,Marketing,3
Marketing Manager,13,High School,139821.0,Full-time,Remote,Small,59,Retail,Yes,Marketing,3
Nurse,4,High School,97722.0,Part-time,New York,Enterprise,20,Retail,Yes,Marketing,5
Sales Executive,32,High School,22682.0,Contract,New York,Enterprise,40,Finance,Yes,SQL,2
Sales Executive,18,Bachelor,131186.0,Internship,Chicago,Medium,39,Healthcare,No,Python,4
Nurse,21,Bachelor,58046.0,Internship,,Enterprise,45,Manufacturing,No,C++,1
Sales Executive,4,Bachelor,132109.0,Part-time,San Francisco,Medium,63,Manufacturing,Yes,Java,5
Accountant,1,Bachelor,41832.0,Full-time,Remote,Large,62,Education,No,Python,5
Nurse,29,High School,36997.0,Internship,Chicago,Large,53,Finance,Yes,SQL,2
Teacher,3,PhD,54640.0,Part-time,Chicago,Small,21,Manufacturing,Yes,Data Analysis,1
Nurse,32,Master,96882.0,Internship,New York,Enterprise,55,Education,Yes,Data Analysis,5
Sales Executive,12,Bachelor,60491.0,Full-time,San Francisco,Large,41,IT,No,Marketing,2
Accountant,19,PhD,83043.0,Contract,Seattle,Medium,36,Healthcare,No,Data Analysis,4
