Student_ID,Gender,Study_Hours,Family_Income,Attendance,Test_Score,Extra_Activities,Internet_Access,Parental_Education,School_Type,Health_Status,Part_Time_Job
1,Female,8.0,Medium,83,70.0,Sports,No,High School,Private,Good,Yes
2,Male,,,68,94.0,Debate,Yes,PhD,Private,Good,Yes
3,Male,3.0,Low,92,65.0,Sports,No,PhD,Government,Excellent,Yes
4,Other,9.0,Medium,75,44.0,Debate,Yes,Bachelor,Private,Good,No
5,Other,0.0,Medium,91,3.0,Sports,No,PhD,Private,Poor,Yes
6,Other,12.0,Low,92,0.0,Sports,Yes,Master,Private,Average,Yes
7,Female,3.0,,66,59.0,Debate,Yes,Master,Government,Excellent,Yes
8,Other,12.0,Medium,98,49.0,Debate,Yes,PhD,Government,Good,No
9,Other,10.0,High,84,86.0,Music,No,Master,Private,Average,Yes
10,Other,14.0,Low,61,46.0,Music,No,PhD,Private,Excellent,Yes
11,Other,12.0,Low,84,16.0,Debate,Yes,Bachelor,Private,Good,Yes
12,Other,3.0,High,86,85.0,None,No,PhD,Government,Average,No
13,Female,5.0,,55,34.0,Sports,Yes,Master,Government,Good,No
14,Male,1.0,High,59,7.0,Debate,Yes,Master,Private,Good,No
15,Female,1.0,Medium,92,55.0,None,Yes,High School,Private,Excellent,Yes
16,Male,5.0,High,72,59.0,None,Yes,Bachelor,Government,Good,Yes
17,Other,2.0,High,68,54.0,Music,Yes,High School,Government,Excellent,Yes
18,Female,19.0,High,92,6.0,Music,Yes,PhD,Government,Poor,No
19,Other,10.0,Medium,57,64.0,Sports,No,PhD,Private,Average,Yes
20,Female,14.0,Low,58,24.0,Music,Yes,High School,Private,Excellent,Yes
21,Female,8.0,Medium,52,23.0,Sports,No,High School,Private,Excellent,Yes
22,Other,,High,82,96.0,Debate,Yes,High School,Private,Excellent,No
23,Other,14.0,Medium,51,74.0,Sports,No,High School,Private,Excellent,Yes
24,Male,9.0,Low,83,95.0,Music,Yes,High School,Private,Excellent,No
25,Other,10.0,Medium,84,92.0,Music,Yes,Master,Private,Good,No
26,Male,1.0,High,67,64.0,None,Yes,Bachelor,Government,Excellent,Yes
27,Other,13.0,Medium,76,46.0,Music,Yes,High School,Government,Excellent,Yes
28,Male,15.0,Medium,98,7.0,None,No,Bachelor,Government,Good,No
29,Female,8.0,High,93,44.0,Music,No,Bachelor,Private,Average,No
30,Female,15.0,High,76,28.0,None,No,PhD,Government,Excellent,Yes
31,Other,0.0,Low,87,30.0,Sports,Yes,Master,Government,Excellent,No
32,Female,1.0,Medium,88,56.0,Sports,Yes,Bachelor,Private,Poor,Yes
33,Other,6.0,Low,66,98.0,Sports,No,Bachelor,Private,Excellent,No
34,Other,11.0,High,58,6.0,None,No,Bachelor,Government,Poor,Yes
35,Other,17.0,High,81,30.0,Sports,Yes,Bachelor,Private,Poor,Yes
36,Male,,Low,72,59.0,Debate,Yes,Master,Private,Average,No
37,Male,1.0,Low,93,55.0,Sports,Yes,Master,Private,Poor,Yes
38,Other,13.0,Medium,63,31.0,Sports,Yes,PhD,Government,Good,Yes
39,Female,15.0,Low,60,93.0,None,No,High School,Government,Average,Yes
40,Female,9.0,Medium,53,60.0,Sports,No,PhD,Private,Excellent,No
41,Female,4.0,High,100,60.0,Music,Yes,Bachelor,Government,Average,Yes
42,Male,15.0,High,87,75.0,None,Yes,PhD,Government,Good,No
43,Male,6.0,Medium,100,98.0,Sports,No,Bachelor,Government,Average,Yes
44,Male,14.0,Medium,97,63.0,Debate,Yes,PhD,Private,Average,No
45,Female,12.0,High,65,9.0,None,Yes,PhD,Government,Average,No
46,Female,16.0,Medium,85,25.0,Sports,No,PhD,Government,Average,Yes
47,Female,17.0,Low,74,68.0,Debate,Yes,Master,Government,Good,No
48,Female,17.0,Medium,54,86.0,None,Yes,PhD,Government,Good,Yes
49,Male,16.0,High,59,72.0,Music,No,Master,Private,Excellent,No
50,Other,2.0,Medium,54,96.0,Music,No,Master,Private,Good,Yes
51,Female,11.0,Low,90,36.0,Sports,Yes,PhD,Private,Average,Yes
52,Female,5.0,Medium,67,29.0,Debate,No,Bachelor,Government,Excellent,No
53,Male,11.0,Medium,72,96.0,Music,No,Master,Government,Good,Yes
54,Male,10.0,,87,,Debate,Yes,PhD,Government,Poor,Yes
55,Female,8.0,High,63,41.0,Music,No,PhD,Government,Good,Yes
56,Other,18.0,Medium,72,67.0,None,No,Bachelor,Government,Poor,No
57,Male,18.0,Low,97,89.0,Music,Yes,Master,Government,Excellent,No
58,Male,1.0,High,84,93.0,Debate,No,Bachelor,Private,Excellent,Yes
59,Male,12.0,Medium,82,34.0,Debate,No,High School,Private,Good,Yes
60,Male,17.0,High,87,9.0,Sports,No,Master,Government,Average,Yes
61,Female,3.0,Medium,50,30.0,None,Yes,High School,Private,Average,No
62,Female,13.0,High,55,78.0,Music,Yes,PhD,Government,Excellent,Yes
63,Female,13.0,Medium,70,84.0,None,Yes,Master,Government,Good,No
64,Other,4.0,Low,76,5.0,None,No,Master,Government,Good,No
65,Male,18.0,High,54,64.0,Debate,Yes,Bachelor,Private,Average,Yes
66,Male,1.0,Medium,76,73.0,Sports,No,High School,Government,Poor,Yes
67,Male,15.0,Medium,93,1.0,None,No,Bachelor,Government,Excellent,No
68,Female,5.0,Medium,55,8.0,Debate,Yes,PhD,Private,Good,No
69,Male,10.0,High,89,80.0,Music,Yes,Bachelor,Government,Excellent,Yes
70,Female,11.0,High,74,79.0,Debate,Yes,Bachelor,Private,Excellent,No
71,Female,,Medium,100,65.0,Sports,Yes,Bachelor,Private,Good,Yes
72,Other,9.0,Medium,0,79.0,Debate,Yes,Master,Private,Excellent,No
73,Male,13.0,Medium,64,98.0,None,Yes,PhD,Government,Good,No
74,Female,3.0,High,95,58.0,Debate,Yes,PhD,Private,Poor,No
75,Male,1.0,Low,97,91.0,Debate,Yes,Bachelor,Government,Average,Yes
76,Female,18.0,Low,87,12.0,Debate,Yes,Master,Private,Good,Yes
77,Female,18.0,Medium,66,5.0,None,Yes,Master,Private,Poor,Yes
78,Female,14.0,High,66,24.0,Sports,No,Bachelor,Government,Average,No
79,Female,8.0,Medium,97,,Music,No,PhD,Government,Poor,Yes
80,Other,3.0,Medium,82,58.0,None,No,Master,Private,Excellent,Yes
81,Male,12.0,High,67,89.0,Music,No,High School,Government,Poor,Yes
82,Male,8.0,Low,85,45.0,Music,No,High School,Private,Excellent,No
83,Female,,High,52,14.0,None,No,PhD,Government,Good,Yes
84,Male,13.0,Medium,74,65.0,None,Yes,PhD,Government,Average,No
85,Male,11.0,Low,84,85.0,None,No,PhD,Government,Average,Yes
86,Male,12.0,High,94,41.0,None,No,High School,Private,Excellent,Yes
87,Other,17.0,Low,69,91.0,Sports,No,High School,Government,Poor,Yes
88,Female,4.0,High,85,16.0,Sports,Yes,Master,Government,Good,No
89,Other,18.0,High,92,22.0,Debate,No,PhD,Private,Poor,No
90,Male,2.0,Low,80,14.0,Music,No,Master,Private,Good,No
91,Male,16.0,Low,70,37.0,Music,Yes,High School,Government,Good,Yes
92,Other,19.0,Medium,86,55.0,None,Yes,High School,Private,Good,No
93,Female,6.0,Medium,83,33.0,None,No,High School,Government,Poor,No
94,Male,2.0,Low,87,93.0,Music,Yes,High School,Private,Poor,No
95,Other,6.0,Medium,86,64.0,None,Yes,Master,Private,Good,Yes
96,Other,5.0,Medium,50,79.0,Sports,Yes,High School,Government,Average,Yes
97,Female,13.0,High,80,88.0,Debate,No,High School,Private,Good,Yes
98,Other,0.0,Medium,72,86.0,Debate,Yes,PhD,Private,Excellent,Yes
99,Other,13.0,High,92,96.0,Music,No,Bachelor,Government,Excellent,Yes
100,Other,10.0,Medium,87,33.0,Sports,No,Bachelor,Government,Excellent,Yes
101,Male,8.0,Low,98,72.0,Sports,No,Master,Government,Poor,No
102,Male,9.0,High,60,15.0,None,No,High School,Private,Poor,Yes
103,Female,10.0,Medium,88,100.0,None,Yes,High School,Government,Average,No
104,Other,17.0,Low,97,49.0,None,No,Bachelor,Private,Average,No
105,Other,16.0,High,69,68.0,Debate,Yes,High School,Government,Poor,No
106,Male,13.0,Medium,86,41.0,Debate,No,PhD,Private,Poor,Yes
107,Male,16.0,Low,56,61.0,Sports,Yes,High School,Government,Average,Yes
108,Male,6.0,High,84,11.0,Sports,No,High School,Government,Excellent,No
109,Female,7.0,Medium,51,68.0,Sports,Yes,Bachelor,Government,Poor,Yes
110,Male,7.0,Medium,82,86.0,None,Yes,Bachelor,Government,Good,No
111,Other,18.0,High,89,71.0,Debate,Yes,High School,Government,Average,Yes
112,Other,4.0,Low,73,98.0,None,No,High School,Government,Poor,Yes
113,Other,6.0,High,88,79.0,None,No,High School,Government,Excellent,Yes
114,Female,12.0,Low,59,83.0,Debate,No,High School,Private,Excellent,Yes
115,Other,14.0,Low,95,27.0,None,Yes,Master,Government,Average,No
116,Other,13.0,High,58,29.0,Debate,No,Bachelor,Private,Poor,Yes
117,Other,14.0,Low,92,74.0,Music,No,PhD,Government,Poor,No
118,Male,,Medium,82,49.0,Sports,No,Master,Private,Average,Yes
119,Other,,High,100,16.0,Music,Yes,Master,Private,Poor,Yes
120,Male,19.0,Low,70,9.0,Sports,Yes,Master,Government,Good,No
121,Male,,Medium,63,87.0,Sports,No,Master,Private,Excellent,Yes
122,Female,8.0,Low,99,94.0,Music,Yes,High School,Government,Excellent,Yes
123,Female,13.0,High,72,10.0,Debate,No,High School,Government,Excellent,Yes
124,Other,16.0,Medium,61,46.0,None,No,PhD,Government,Good,No
125,Female,0.0,Low,71,7.0,Music,No,PhD,Private,Excellent,Yes
126,Male,0.0,High,77,30.0,Sports,No,High School,Private,Good,Yes
127,Male,3.0,,76,100.0,Debate,No,High School,Private,Poor,Yes
128,Other,19.0,High,59,,Music,Yes,Bachelor,Government,Good,Yes
129,Other,7.0,Medium,67,32.0,Debate,No,PhD,Private,Excellent,No
130,Other,4.0,High,73,8.0,Music,Yes,Bachelor,Government,Excellent,No
131,Male,13.0,,52,45.0,Music,No,PhD,Private,Excellent,Yes
132,Male,,Low,53,2.0,Debate,No,High School,Government,Excellent,Yes
133,Other,13.0,Low,79,12.0,Debate,No,PhD,Government,Good,No
